Name,Location,Description,Batch,Website,Founders,Founders Linkedins
Littio,Bogotá,Dollar banking for people in Latin America,W23,https://www.littio.co/,"Luis Huertas, Camilo Jimenez, Ivan Torroledo, Christian Knudsen","https://www.linkedin.com/in/luiseduardohuertas/, https://www.linkedin.com/in/camilohjimenez/, https://www.linkedin.com/in/ivantorroledo/, https://www.linkedin.com/in/christian-knudsen-daccach-51915397/"
Thread,Chattanooga,Lifeline for your business,W23,https://www.usethread.io,"Harsha Vankayalapati, Akeem Williams","https://www.linkedin.com/in/harsha-vankayalapati-68985997/, https://www.linkedin.com/in/akeem-williams-aa88b5140/"
Waza,Lagos,B2B payments platform for emerging markets.,W23,https://waza.co/,"Maxwell Obi, Emmanuel Igbodudu","https://www.linkedin.com/in/maxwellobi/, https://www.linkedin.com/in/emmanuel-igbodudu/"
Rivet,San Francisco,Open-source backend for games,W23,https://rivet.gg,"Nicholas Kissel, Nathaniel Flurry","https://www.linkedin.com/in/nicholaskissel/, https://www.linkedin.com/in/nathanflurry/"
Sorted,Copenhagen,Instant SaaS management,W23,https://sorted-lp.webflow.io/,Adam Ingwersen,https://linkedin.com/in/adamildk
DAGWorks Inc.,San Francisco,"Standardizing Python Data, ML, & LLM Pipelines + Applications",W23,https://www.dagworks.io/,"Stefan Krawczyk, Elijah ben Izzy","https://www.linkedin.com/in/skrawczyk/, https://linkedin.com/in/elijahbenizzy"
Swishjam,Los Angeles,All-in-one digital analytics for SaaS companies,W23,https://swishjam.com,"Collin Schneider, Zachary Zimbler","https://www.linkedin.com/in/collinschneider, https://www.linkedin.com/in/zzimbler/"
Invopop,Madrid,We help global software companies comply with local tax reporting ,W23,https://www.invopop.com/,"Juan Moliner Malaxechevarría, Sam Lown","https://www.linkedin.com/in/juan-moliner/, https://www.linkedin.com/in/samlown/"
Turntable,New York,AI-native operating system for analytics teams,W23,https://www.turntable.so,"Justin Leder, Ian Tracey","https://www.linkedin.com/in/justin-leder, https://www.linkedin.com/in/itracey/"
Corgi Labs,San Francisco,"CorgiAI is payment fraud prevention software for ecommerce, travel…",W23,https://www.corgilabs.ai,Saif Farooqui,https://www.linkedin.com/in/sfarooqui1/
Stralis Aircraft,Brisbane,Emission free hydrogen electric aircraft,W23,https://stralis.aero/,"Bob Criner, Stuart Johnstone","https://www.linkedin.com/in/bobcriner/, https://www.linkedin.com/in/stuartjohnstone1/"
Keep,Tel Aviv-Yafo,The open-source AIOps platform,W23,https://www.keephq.dev,"Tal Borenstein, Shahar Glazner","https://www.linkedin.com/in/talbo, https://www.linkedin.com/in/shahar-glazner-29294654/"
Play,Mountain View,We build human-like Voice AI that customers love speaking with.,W23,https://play.ht/,"Hammad Syed, Mahmoud felfel","https://www.linkedin.com/in/hammad-syed-61040432/, https://www.linkedin.com/in/mahmoud-felfel-33024252"
Holacasa,Mexico City,End-to-end mortgage solution in LatAm,W23,https://www.holacasa.mx/,Eric Yáñez,https://www.linkedin.com/in/ericyanezl/
Epsilon,New York,AI Search Engine for Academic Research,W23,https://www.epsilon-ai.com,"Eshan Agarwal, Viraj Rai","https://www.linkedin.com/in/eshanagarwal/, https://www.linkedin.com/in/viraj-rai/"
Clad,New York,Software to build the internet faster.,W23,https://withclad.com/,Jason Rudin,https://www.linkedin.com/in/jasonrudin/
Pylon,San Francisco,"Modern B2B Customer Support over Slack, Teams, Email, In-App",W23,https://www.usepylon.com/,"Advith Chelikani, Marty Kausas, Robert Eng","https://www.linkedin.com/in/advith/, https://www.linkedin.com/in/martykausas, https://www.linkedin.com/in/robert-eng/"
Muffin Data,,Modern analytics for CPG brands,W23,http://www.muffindata.com,"Andres Recalde, Sal Calvo","https://www.linkedin.com/in/andres-s-recalde, https://www.linkedin.com/in/salcalvo/"
Peeba,Hong Kong,Risk-free wholesale for retailers across Southeast Asia,W23,http://peeba.com/,Jacky Lai,http://www.linkedin.com/in/jackylaihk
Diffuse Bio,San Carlos,Generative AI for protein design,W23,http://diffuse.bio,Namrata Anand,https://www.linkedin.com/in/namrata-a-427807188/
inBuild,Wilmington,Workflow Automation for Construction Finance ,W23,https://www.inbuild.ai/,"Ty Sharp, Ian Sharp","https://www.linkedin.com/in/ty-sharp-59b907123/, https://www.linkedin.com/in/ianwsharp/"
Sanvivo,Munich,Shopify for pharmacies in Europe,W23,http://www.sanvivo.eu,"Julius Rachor, Nikolai Alemi Hariri, Dominic Haul, Sven Wildermann","https://www.linkedin.com/in/juliusrachor/, https://www.linkedin.com/in/nikolai-alemi-12157123a/, https://www.linkedin.com/in/dominic-haul-524a00111/, https://www.linkedin.com/in/svenwildermann/"
clearspace,San Francisco,eliminate compulsive phone usage,W23,https://getclearspace.com,"royce branning, oliver hill","https://www.linkedin.com/in/roycebranning/, https://www.linkedin.com/in/oliver-hill-070322149/"
Univerbal (formerly Quazel),,Language learning with a conversational AI Tutor,W23,https://univerbal.app,"Philipp Hadjimina, Samuel Bissegger, David Niederberger","https://www.linkedin.com/in/pmhadjimina/, https://www.linkedin.com/in/samuel-bissegger/, https://www.linkedin.com/in/david-niederberger-aba7a7177/"
Milio,Bogotá,B2B-2C real-time account to account payments,W23,http://www.miliopay.com,"Daniel Gomez, Juan Luis Perez E, Toni Riera","https://www.linkedin.com/in/daniel-gómez-86954a58/, https://www.linkedin.com/in/juan-luis-perez-escobar-079869104, https://www.linkedin.com/in/triera/"
Mantys,Bengaluru,ARR Reporting and Forecasting for SaaS companies,W23,https://www.mantys.io/,Kriti Arora,https://www.linkedin.com/in/kriti-arora-536111105/
Proglix,Jakarta,B2B Marketplace for Raw Materials in Indonesia,W23,https://proglix.com/,"Wynn Wijaya, Prawira Indrawan, Wendy Wijaya","https://www.linkedin.com/in/wynn-wijaya-76a2a8a4/, https://www.linkedin.com/in/prawira-indrawan-11826a256/, https://www.linkedin.com/in/wendy-noel-wijaya-b9b6648b/"
